secID,wayID,roadID,roadName,startNodeID,endNodeID
Sec0,196818307,R0,JAC大道,2071136602,2071136587
Sec1,196818307,R0,JAC大道,2071136587,2071136606
Sec2,196818307,R0,JAC大道,2071136606,5003155589
Sec3,196818307,R0,JAC大道,5003155589,2071136564
Sec4,196818307,R0,JAC大道,2071136564,5003155590
Sec5,196818307,R0,JAC大道,5003155590,4269521870
Sec6,196818307,R0,JAC大道,4269521870,2071136581
Sec7,267932978,R1,一环宁国路桥,2733230324,269283425
Sec8,305877765,R2,一环马鞍山路桥,3017250533,3105694555
Sec9,217633715,R3,万佛山路,2269368104,3290374522
Sec10,217633715,R3,万佛山路,3290374522,3290374506
Sec11,217633715,R3,万佛山路,3290374506,5407085588
Sec12,217633715,R3,万佛山路,5407085588,2269517167
Sec13,217633715,R3,万佛山路,2269517167,5407085603
Sec14,217633715,R3,万佛山路,5407085603,5407085581
Sec15,217633715,R3,万佛山路,5407085581,2269368097
Sec16,217633715,R3,万佛山路,2269368097,4853098837
Sec17,217633715,R3,万佛山路,4853098837,5407085609
Sec18,217633715,R3,万佛山路,5407085609,5407085572
Sec19,217633715,R3,万佛山路,5407085572,5407085613
Sec20,217633715,R3,万佛山路,5407085613,5066728935
Sec21,217633715,R3,万佛山路,5066728935,5066728752
Sec22,217633715,R3,万佛山路,5066728752,2269368091
Sec23,217646832,R4,万佛湖路,2958414944,2269521133
Sec24,217646832,R4,万佛湖路,2269521133,2269521135
Sec25,217646832,R4,万佛湖路,2269521135,3717242121
Sec26,217646832,R4,万佛湖路,3717242121,2269521129
Sec27,217646832,R4,万佛湖路,2269521129,2269521127
Sec28,217646832,R4,万佛湖路,2269521127,2269521128
Sec29,217646832,R4,万佛湖路,2269521128,2269521126
Sec30,217646832,R4,万佛湖路,2269521126,2034282017
Sec31,550168181,R5,万场路,5314007366,5314007367
Sec32,550168181,R5,万场路,5314007367,5314007368
Sec33,367395996,R6,万年埠路,3713216440,3713527792
Sec34,367395996,R6,万年埠路,3713527792,5314007082
Sec35,367395996,R6,万年埠路,5314007082,5314007081
Sec36,367395996,R6,万年埠路,5314007081,5495015263
Sec37,367395996,R6,万年埠路,5495015263,3713216500
Sec38,367395996,R6,万年埠路,3713216500,3713216441
Sec39,367395996,R6,万年埠路,3713216441,3713216442
Sec40,319977944,R7,万泉河路,3717122006,5086294730
Sec41,319977944,R7,万泉河路,5086294730,5086294738
Sec42,319977944,R7,万泉河路,5086294738,5086294745
Sec43,319977944,R7,万泉河路,5086294745,5086294751
Sec44,319977944,R7,万泉河路,5086294751,3717122005
Sec45,319977944,R7,万泉河路,3717122005,3578331776
Sec46,319977944,R7,万泉河路,3578331776,3717122333
Sec47,319977944,R7,万泉河路,3717122333,3717122342
Sec48,319977944,R7,万泉河路,3717122342,3111558755
Sec49,319977944,R7,万泉河路,3111558755,3290374357
Sec50,319977944,R7,万泉河路,3290374357,3578332597
Sec51,319977944,R7,万泉河路,3578332597,1042058411
Sec52,319977944,R7,万泉河路,1042058411,5307235621
Sec53,319977944,R7,万泉河路,5307235621,5307235623
Sec54,319977944,R7,万泉河路,5307235623,3264984697
Sec55,319977944,R7,万泉河路,3264984697,1042063823
Sec56,319977944,R7,万泉河路,1042063823,3264818064
Sec57,319990819,R8,万泉河路,3264971383,3264971382
Sec58,319990819,R8,万泉河路,3264971382,3264971381
Sec59,319990819,R8,万泉河路,3264971381,3264971380
