gridID,bigGridMinLatitude,bigGridMinLongitude,bigGridMaxLatitude,bigGridMaxLongitude,centralLatitude,centralLongitude
1,31.283233,116.8899771,31.304722286,116.908351646,31.2886053215,116.8945707365
2,31.283233,116.8899771,31.304722286,116.917538919,31.2886053215,116.9037580095
3,31.283233,116.89916437299999,31.304722286,116.92672619199999,31.2886053215,116.91294528249999
4,31.283233,116.908351646,31.304722286,116.935913465,31.2886053215,116.9221325555
5,31.283233,116.917538919,31.304722286,116.945100738,31.2886053215,116.9313198285
6,31.283233,116.92672619199999,31.304722286,116.954288011,31.2886053215,116.94050710149999
7,31.283233,116.935913465,31.304722286,116.963475284,31.2886053215,116.9496943745
8,31.283233,116.945100738,31.304722286,116.97266255699999,31.2886053215,116.9588816475
9,31.283233,116.954288011,31.304722286,116.98184983,31.2886053215,116.9680689205
10,31.283233,116.963475284,31.304722286,116.991037103,31.2886053215,116.9772561935
11,31.283233,116.97266255699999,31.304722286,117.00022437599999,31.2886053215,116.98644346649999
12,31.283233,116.98184983,31.304722286,117.009411649,31.2886053215,116.9956307395
13,31.283233,116.991037103,31.304722286,117.018598922,31.2886053215,117.0048180125
14,31.283233,117.00022437599999,31.304722286,117.02778619499999,31.2886053215,117.01400528549999
15,31.283233,117.009411649,31.304722286,117.036973468,31.2886053215,117.0231925585
16,31.283233,117.018598922,31.304722286,117.046160741,31.2886053215,117.0323798315
17,31.283233,117.02778619499999,31.304722286,117.05534801399999,31.2886053215,117.04156710449999
18,31.283233,117.036973468,31.304722286,117.064535287,31.2886053215,117.0507543775
19,31.283233,117.046160741,31.304722286,117.07372256,31.2886053215,117.0599416505
20,31.283233,117.05534801399999,31.304722286,117.082909833,31.2886053215,117.0691289235
21,31.283233,117.064535287,31.304722286,117.092097106,31.2886053215,117.0783161965
22,31.283233,117.07372256,31.304722286,117.10128437899999,31.2886053215,117.08750346949999
23,31.283233,117.082909833,31.304722286,117.110471652,31.2886053215,117.0966907425
24,31.283233,117.092097106,31.304722286,117.119658925,31.2886053215,117.1058780155
25,31.283233,117.10128437899999,31.304722286,117.12884619799999,31.2886053215,117.11506528849999
26,31.283233,117.110471652,31.304722286,117.138033471,31.2886053215,117.1242525615
27,31.293977642999998,117.138033471,31.304722286,117.138033471,31.2886053215,117.1334398345
28,31.293977642999998,117.138033471,31.304722286,117.138033471,31.2886053215,117.14262710749999
29,31.293977642999998,117.138033471,31.293977642999998,117.16559529,31.2886053215,117.1518143805
30,31.293977642999998,117.147220744,31.293977642999998,117.174782563,31.2886053215,117.1610016535
31,31.283233,117.174782563,31.293977642999998,117.174782563,31.2886053215,117.17018892649999
32,31.283233,117.174782563,31.293977642999998,117.174782563,31.2886053215,117.1793761995
33,31.283233,117.174782563,31.304722286,117.20234438199999,31.2886053215,117.1885634725
34,31.283233,117.183969836,31.304722286,117.211531655,31.2886053215,117.1977507455
35,31.283233,117.193157109,31.304722286,117.220718928,31.2886053215,117.2069380185
36,31.283233,117.20234438199999,31.304722286,117.22990620099999,31.2886053215,117.21612529149999
37,31.283233,117.211531655,31.304722286,117.239093474,31.2886053215,117.2253125645
38,31.283233,117.220718928,31.304722286,117.248280747,31.2886053215,117.2344998375
39,31.283233,117.22990620099999,31.304722286,117.25746801999999,31.2886053215,117.24368711049999
40,31.283233,117.239093474,31.304722286,117.266655293,31.2886053215,117.2528743835
41,31.283233,117.248280747,31.304722286,117.275842566,31.2886053215,117.2620616565
42,31.283233,117.25746801999999,31.304722286,117.28502983899999,31.2886053215,117.27124892949999
43,31.283233,117.266655293,31.304722286,117.294217112,31.2886053215,117.2804362025
44,31.283233,117.275842566,31.304722286,117.303404385,31.2886053215,117.2896234755
45,31.283233,117.28502983899999,31.304722286,117.312591658,31.2886053215,117.2988107485
46,31.283233,117.294217112,31.304722286,117.321778931,31.2886053215,117.3079980215
47,31.283233,117.303404385,31.304722286,117.33096620399999,31.2886053215,117.31718529449999
48,31.283233,117.312591658,31.304722286,117.340153477,31.2886053215,117.3263725675
49,31.283233,117.321778931,31.304722286,117.34934075,31.2886053215,117.3355598405
50,31.283233,117.33096620399999,31.304722286,117.35852802299999,31.2886053215,117.34474711349999
51,31.283233,117.340153477,31.304722286,117.367715296,31.2886053215,117.3539343865
52,31.283233,117.34934075,31.304722286,117.376902569,31.2886053215,117.3631216595
53,31.283233,117.35852802299999,31.304722286,117.38608984199999,31.2886053215,117.37230893249999
54,31.283233,117.367715296,31.304722286,117.395277115,31.2886053215,117.3814962055
55,31.283233,117.376902569,31.304722286,117.404464388,31.2886053215,117.3906834785
